id,dataset,model_name,task_type,gold_answer,n_templates,sens_heuristic,sens_judge,eas,signed_eas,mean_heuristic,mean_judge,stab_sem,effect_role_heuristic,effect_fmt_heuristic,effect_prefix_heuristic,effect_role_judge,effect_fmt_judge,effect_prefix_judge,trizone
arc_1,arc_challenge,llama3.2:1b,mcq,B,8,0.0,0.4330127018922193,0.4330127018922193,-0.4330127018922193,1.0,0.25,,0.0,0.0,0.0,-0.5,-0.5,0.0,stable
arc_1000,arc_challenge,llama3.2:1b,mcq,A,8,0.0,0.4841229182759271,0.4841229182759271,-0.4841229182759271,1.0,0.625,,0.0,0.0,0.0,-0.25,0.25,0.25,stable
arc_1010,arc_challenge,llama3.2:1b,mcq,D,8,0.4841229182759271,0.4841229182759271,0.0,0.0,0.375,0.375,,-0.25,0.75,0.25,-0.25,0.75,0.25,genuine
arc_1022,arc_challenge,llama3.2:1b,mcq,D,8,0.5,0.33071891388307384,0.16928108611692616,0.16928108611692616,0.5,0.125,,0.0,-1.0,0.0,-0.25,-0.25,0.25,stable
arc_1025,arc_challenge,llama3.2:1b,mcq,C,8,0.4841229182759271,0.5,0.015877081724072872,-0.015877081724072872,0.375,0.5,,-0.25,-0.75,-0.25,0.0,-1.0,0.0,genuine
arc_1034,arc_challenge,llama3.2:1b,mcq,A,8,0.4330127018922193,0.33071891388307384,0.10229378800914546,0.10229378800914546,0.25,0.125,,-0.5,-0.5,0.0,-0.25,0.25,0.25,stable
arc_1039,arc_challenge,llama3.2:1b,mcq,B,8,0.4841229182759271,0.4841229182759271,0.0,0.0,0.375,0.375,,-0.25,0.75,0.25,-0.25,0.75,0.25,genuine
arc_1043,arc_challenge,llama3.2:1b,mcq,C,8,0.5,0.5,0.0,0.0,0.5,0.5,,0.0,-1.0,0.0,0.0,-1.0,0.0,genuine
arc_1052,arc_challenge,llama3.2:1b,mcq,D,8,0.4330127018922193,0.0,0.4330127018922193,0.4330127018922193,0.25,0.0,,0.0,0.5,-0.5,0.0,0.0,0.0,artifact
arc_1059,arc_challenge,llama3.2:1b,mcq,B,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_1080,arc_challenge,llama3.2:1b,mcq,A,8,0.5,0.0,0.5,0.5,0.5,0.0,,0.0,-1.0,0.0,0.0,0.0,0.0,artifact
arc_1083,arc_challenge,llama3.2:1b,mcq,A,8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,stable
arc_1086,arc_challenge,llama3.2:1b,mcq,C,8,0.4330127018922193,0.0,0.4330127018922193,0.4330127018922193,0.75,1.0,,0.5,0.5,0.0,0.0,0.0,0.0,artifact
arc_1090,arc_challenge,llama3.2:1b,mcq,A,8,0.0,0.5,0.5,-0.5,1.0,0.5,,0.0,0.0,0.0,0.0,1.0,0.0,stable
arc_1093,arc_challenge,llama3.2:1b,mcq,C,8,0.33071891388307384,0.33071891388307384,0.0,0.0,0.125,0.125,,-0.25,0.25,-0.25,-0.25,0.25,-0.25,genuine
